"Route","Year","Shannon","Lati","Longi","o$GEOID","o$NAME"
31,2009,3.44298706858371,40.1540697,-83.7262559,"39021","Champaign"
31,2013,3.19107000561911,40.1540697,-83.7262559,"39021","Champaign"
31,2003,3.34023026398,40.1540697,-83.7262559,"39021","Champaign"
31,2002,3.34673618717667,40.1540697,-83.7262559,"39021","Champaign"
31,2011,3.05366351919838,40.1540697,-83.7262559,"39021","Champaign"
31,2012,3.26610216984957,40.1540697,-83.7262559,"39021","Champaign"
31,2001,3.32275790814189,40.1540697,-83.7262559,"39021","Champaign"
31,2007,2.71570446838019,40.1540697,-83.7262559,"39021","Champaign"
32,2000,3.13550203060738,40.6744266,-83.6735259,"39065","Hardin"
32,2013,2.9118226091048,40.6744266,-83.6735259,"39065","Hardin"
32,2003,2.8798842330036,40.6744266,-83.6735259,"39065","Hardin"
32,2002,3.07442179000239,40.6744266,-83.6735259,"39065","Hardin"
32,2001,3.13791898356248,40.6744266,-83.6735259,"39065","Hardin"
32,2004,2.98294439431869,40.6744266,-83.6735259,"39065","Hardin"
33,2005,2.80596011280103,40.7097397,-83.5725179,"39065","Hardin"
33,2000,3.00932927668447,40.7097397,-83.5725179,"39065","Hardin"
33,2010,2.98171275337147,40.7097397,-83.5725179,"39065","Hardin"
33,2013,3.16656333374031,40.7097397,-83.5725179,"39065","Hardin"
33,2006,2.76962664519076,40.7097397,-83.5725179,"39065","Hardin"
33,2007,3.04672006806788,40.7097397,-83.5725179,"39065","Hardin"
33,2003,2.81421883137473,40.7097397,-83.5725179,"39065","Hardin"
33,2001,3.10924803655934,40.7097397,-83.5725179,"39065","Hardin"
34,2003,3.37946823658027,40.5642137,-83.0386289,"39101","Marion"
34,2002,3.29048976842751,40.5642137,-83.0386289,"39101","Marion"
34,2007,3.0565810841074,40.5642137,-83.0386289,"39101","Marion"
34,2006,3.02319499440866,40.5642137,-83.0386289,"39101","Marion"
34,2009,2.80847156112147,40.5642137,-83.0386289,"39101","Marion"
34,2010,2.81299159474795,40.5642137,-83.0386289,"39101","Marion"
34,2005,3.13900385465475,40.5642137,-83.0386289,"39101","Marion"
35,2012,2.70435897310305,40.246894,-83.2978987,"39159","Union"
35,2007,2.94830460004836,40.246894,-83.2978987,"39159","Union"
35,2009,2.87094135683386,40.246894,-83.2978987,"39159","Union"
35,2010,2.73931006175418,40.246894,-83.2978987,"39159","Union"
35,2000,2.46828630814484,40.246894,-83.2978987,"39159","Union"
35,2005,2.36030114481389,40.246894,-83.2978987,"39159","Union"
35,2011,2.62916570322509,40.246894,-83.2978987,"39159","Union"
35,2001,2.99755421036449,40.246894,-83.2978987,"39159","Union"
35,2013,2.44596584639619,40.246894,-83.2978987,"39159","Union"
35,2008,3.17678196441915,40.246894,-83.2978987,"39159","Union"
35,2006,3.00237390383546,40.246894,-83.2978987,"39159","Union"
35,2003,2.59321096219443,40.246894,-83.2978987,"39159","Union"
39,2012,3.23847649576133,40.4606653,-82.6249903,"39083","Knox"
39,2000,3.33906361294837,40.4606653,-82.6249903,"39083","Knox"
39,2002,3.37287146024472,40.4606653,-82.6249903,"39083","Knox"
