Acrocephalus atyphus,Tuamotu Reed-warbler,U,H,U,L
Acrocephalus australis,Australian Reed-warbler,H,L,L,L
Acrocephalus bistrigiceps,Black-browed Reed-warbler,U,U,U,L
Acrocephalus brevipennis,Cape Verde Warbler,H,L,H,L
Acrocephalus caffer,Tahiti Reed-warbler,H,H,U,L
Acrocephalus concinens,Blunt-winged Warbler,U,U,U,L
Acrocephalus dumetorum,Blyth's Reed-warbler,H,L,H,L
Acrocephalus familiaris,Millerbird,H,H,U,L
Acrocephalus gracilirostris,Lesser Swamp-warbler,U,L,U,L
Acrocephalus griseldis,Basra Reed-warbler,H,U,L,L
Acrocephalus kerearako,Cook Islands Reed-warbler,H,H,U,L
Acrocephalus luscinius,Nightingale Reed-warbler,H,H,H,H
"Acrocephalus melanopogon",Moustached Warbler,H,L,L,L
Acrocephalus mendanae,Marquesan Reed-warbler,U,U,U,L
Acrocephalus newtoni,Madagascar Swamp-warbler,U,L,U,L
Acrocephalus orinus,Large-billed Reed-warbler,H,U,U,L
Acrocephalus paludicola,Aquatic Warbler,H,L,H,L
Acrocephalus palustris,Marsh Warbler,H,L,H,L
Acrocephalus rehsei,Nauru Reed-warbler,H,H,U,L
Acrocephalus rimatarae,Rimatara Reed-warbler,H,H,U,L
Acrocephalus rodericanus,Rodrigues Warbler,H,H,H,H
Acrocephalus rufescens,Greater Swamp-warbler,U,L,U,L
"Acrocephalus schoenobaenus",Sedge Warbler,H,L,H,L
Acrocephalus sechellensis,Seychelles Warbler,H,H,U,L
"Acrocephalus sorghophilus",Streaked Reed-warbler,H,U,L,L
Acrocephalus stentoreus,Clamorous Reed-warbler,U,L,U,L
Acrocephalus syrinx,"Caroline Islands Reed-warbler",H,U,H,L
Acrocephalus taiti,Henderson Reed-warbler,H,H,U,L
Acrocephalus tangorum,Manchurian Reed-warbler,H,U,H,L
Acrocephalus vaughani,Pitcairn Reed-warbler,H,H,U,L
Acropternis orthonyx,Ocellated Tapaculo,H,H,H,H
Acryllium vulturinum,Vulturine Guineafowl,H,L,L,L
Actenoides bougainvillei,Moustached Kingfisher,H,H,H,H
Actenoides concretus,Rufous-collared Kingfisher,H,H,H,H
Actenoides hombroni,Blue-capped Kingfisher,H,H,H,H
Actenoides lindsayi,Spotted Kingfisher,H,H,U,L
Actenoides monachus,Green-backed Kingfisher,H,H,H,H
Actenoides princeps,Scaly Kingfisher,H,H,H,H
Actinodura egertoni,Rusty-fronted Barwing,U,L,U,L
Actinodura morrisoniana,Taiwan Barwing,H,H,H,H
Actinodura nipalensis,Hoary-throated Barwing,H,H,H,H
Actinodura ramsayi,Spectacled Barwing,U,H,U,L
Actinodura sodangorum,Black-crowned Barwing,H,U,L,L
