Route,Year,Shannon,Lati,Longi,GEOID,county
22,2002,3.132056614,41.3710349,-80.9900079,39155,Trumbull
22,2005,3.093463191,41.3710349,-80.9900079,39155,Trumbull
22,2013,3.11908534,41.3710349,-80.9900079,39155,Trumbull
22,2006,3.13031413,41.3710349,-80.9900079,39155,Trumbull
22,2011,3.196771452,41.3710349,-80.9900079,39155,Trumbull
22,2007,3.223300443,41.3710349,-80.9900079,39155,Trumbull
24,2001,2.987314794,40.4824537,-84.1838359,39011,Auglaize
24,2005,2.953430879,40.4824537,-84.1838359,39011,Auglaize
24,2000,3.029256268,40.4824537,-84.1838359,39011,Auglaize
24,2010,2.994259715,40.4824537,-84.1838359,39011,Auglaize
24,2003,2.707236295,40.4824537,-84.1838359,39011,Auglaize
24,2013,3.055227103,40.4824537,-84.1838359,39011,Auglaize
24,2012,3.143400424,40.4824537,-84.1838359,39011,Auglaize
24,2004,3.048209667,40.4824537,-84.1838359,39011,Auglaize
24,2011,3.03789424,40.4824537,-84.1838359,39011,Auglaize
24,2002,3.187108798,40.4824537,-84.1838359,39011,Auglaize
25,2012,2.963104701,40.9809757,-84.1972889,39137,Putnam
25,2013,2.878619782,40.9809757,-84.1972889,39137,Putnam
25,2001,2.668648116,40.9809757,-84.1972889,39137,Putnam
25,2009,2.457260129,40.9809757,-84.1972889,39137,Putnam
25,2010,2.848439901,40.9809757,-84.1972889,39137,Putnam
25,2005,2.551442871,40.9809757,-84.1972889,39137,Putnam
25,2007,2.576005522,40.9809757,-84.1972889,39137,Putnam
25,2000,2.632811963,40.9809757,-84.1972889,39137,Putnam
25,2011,3.076361741,40.9809757,-84.1972889,39137,Putnam
25,2003,2.459365545,40.9809757,-84.1972889,39137,Putnam
25,2006,2.509409829,40.9809757,-84.1972889,39137,Putnam
25,2004,2.517824252,40.9809757,-84.1972889,39137,Putnam
25,2002,2.626095218,40.9809757,-84.1972889,39137,Putnam
25,2008,2.499506484,40.9809757,-84.1972889,39137,Putnam
27,2012,3.043579824,40.2671711,-84.7793129,39037,Darke
27,2002,2.708472646,40.2671711,-84.7793129,39037,Darke
27,2010,2.575058594,40.2671711,-84.7793129,39037,Darke
27,2001,2.612376914,40.2671711,-84.7793129,39037,Darke
31,2009,3.442987069,40.1540697,-83.7262559,39021,Champaign
31,2013,3.191070006,40.1540697,-83.7262559,39021,Champaign
31,2003,3.340230264,40.1540697,-83.7262559,39021,Champaign
31,2002,3.346736187,40.1540697,-83.7262559,39021,Champaign
31,2011,3.053663519,40.1540697,-83.7262559,39021,Champaign
31,2012,3.26610217,40.1540697,-83.7262559,39021,Champaign
31,2001,3.322757908,40.1540697,-83.7262559,39021,Champaign
31,2007,2.715704468,40.1540697,-83.7262559,39021,Champaign
32,2000,3.135502031,40.6744266,-83.6735259,39065,Hardin
32,2013,2.911822609,40.6744266,-83.6735259,39065,Hardin
32,2003,2.879884233,40.6744266,-83.6735259,39065,Hardin
32,2002,3.07442179,40.6744266,-83.6735259,39065,Hardin
32,2001,3.137918984,40.6744266,-83.6735259,39065,Hardin
32,2004,2.982944394,40.6744266,-83.6735259,39065,Hardin
33,2005,2.805960113,40.7097397,-83.5725179,39065,Hardin
33,2000,3.009329277,40.7097397,-83.5725179,39065,Hardin
33,2010,2.981712753,40.7097397,-83.5725179,39065,Hardin
33,2013,3.166563334,40.7097397,-83.5725179,39065,Hardin
33,2006,2.769626645,40.7097397,-83.5725179,39065,Hardin
33,2007,3.046720068,40.7097397,-83.5725179,39065,Hardin
33,2003,2.814218831,40.7097397,-83.5725179,39065,Hardin
33,2001,3.109248037,40.7097397,-83.5725179,39065,Hardin
34,2003,3.379468237,40.5642137,-83.0386289,39101,Marion
34,2002,3.290489768,40.5642137,-83.0386289,39101,Marion
34,2007,3.056581084,40.5642137,-83.0386289,39101,Marion
34,2006,3.023194994,40.5642137,-83.0386289,39101,Marion
34,2009,2.808471561,40.5642137,-83.0386289,39101,Marion
34,2010,2.812991595,40.5642137,-83.0386289,39101,Marion
34,2005,3.139003855,40.5642137,-83.0386289,39101,Marion
35,2012,2.704358973,40.246894,-83.2978987,39159,Union
35,2007,2.9483046,40.246894,-83.2978987,39159,Union
35,2009,2.870941357,40.246894,-83.2978987,39159,Union
35,2010,2.739310062,40.246894,-83.2978987,39159,Union
35,2000,2.468286308,40.246894,-83.2978987,39159,Union
35,2005,2.360301145,40.246894,-83.2978987,39159,Union
35,2011,2.629165703,40.246894,-83.2978987,39159,Union
35,2001,2.99755421,40.246894,-83.2978987,39159,Union
35,2013,2.445965846,40.246894,-83.2978987,39159,Union
35,2008,3.176781964,40.246894,-83.2978987,39159,Union
35,2006,3.002373904,40.246894,-83.2978987,39159,Union
35,2003,2.593210962,40.246894,-83.2978987,39159,Union
39,2012,3.238476496,40.4606653,-82.6249903,39083,Knox
39,2000,3.339063613,40.4606653,-82.6249903,39083,Knox
39,2002,3.37287146,40.4606653,-82.6249903,39083,Knox
39,2006,3.246271291,40.4606653,-82.6249903,39083,Knox
39,2008,3.248409027,40.4606653,-82.6249903,39083,Knox
39,2013,3.277067895,40.4606653,-82.6249903,39083,Knox
39,2004,3.326777517,40.4606653,-82.6249903,39083,Knox
39,2011,3.292215513,40.4606653,-82.6249903,39083,Knox
39,2001,3.270160585,40.4606653,-82.6249903,39083,Knox
39,2005,3.221939882,40.4606653,-82.6249903,39083,Knox
39,2010,3.326748796,40.4606653,-82.6249903,39083,Knox
39,2009,3.274684605,40.4606653,-82.6249903,39083,Knox
39,2003,3.179819152,40.4606653,-82.6249903,39083,Knox
40,2000,3.28173275,40.8786396,-82.1083506,39169,Wayne
40,2011,3.090663425,40.8786396,-82.1083506,39169,Wayne
40,2012,3.189566772,40.8786396,-82.1083506,39169,Wayne
40,2013,3.254410997,40.8786396,-82.1083506,39169,Wayne
40,2010,3.196862253,40.8786396,-82.1083506,39169,Wayne
40,2001,3.21310276,40.8786396,-82.1083506,39169,Wayne
40,2008,3.351349088,40.8786396,-82.1083506,39169,Wayne
40,2005,2.949820405,40.8786396,-82.1083506,39169,Wayne
40,2003,3.078429996,40.8786396,-82.1083506,39169,Wayne
40,2002,2.851171284,40.8786396,-82.1083506,39169,Wayne
40,2007,3.27482425,40.8786396,-82.1083506,39169,Wayne
40,2006,3.052414094,40.8786396,-82.1083506,39169,Wayne
40,2009,3.074804713,40.8786396,-82.1083506,39169,Wayne
42,2003,3.142349314,40.4600977,-82.7639629,39117,Morrow
42,2013,3.363600033,40.4600977,-82.7639629,39117,Morrow
42,2004,3.005482062,40.4600977,-82.7639629,39117,Morrow
42,2000,3.202921349,40.4600977,-82.7639629,39117,Morrow
42,2009,3.078797542,40.4600977,-82.7639629,39117,Morrow
42,2011,3.409272577,40.4600977,-82.7639629,39117,Morrow
42,2006,2.950235286,40.4600977,-82.7639629,39117,Morrow
42,2001,3.109010161,40.4600977,-82.7639629,39117,Morrow
42,2012,3.37476445,40.4600977,-82.7639629,39117,Morrow
42,2008,3.025894924,40.4600977,-82.7639629,39117,Morrow
42,2007,3.085137278,40.4600977,-82.7639629,39117,Morrow
42,2010,2.87600691,40.4600977,-82.7639629,39117,Morrow
42,2005,2.940680927,40.4600977,-82.7639629,39117,Morrow
42,2002,3.165978831,40.4600977,-82.7639629,39117,Morrow
43,2005,3.152610753,39.9930387,-82.0294509,39119,Muskingum
43,2013,3.515906776,39.9930387,-82.0294509,39119,Muskingum
43,2001,3.571296742,39.9930387,-82.0294509,39119,Muskingum
43,2007,3.349969596,39.9930387,-82.0294509,39119,Muskingum
43,2012,3.325258678,39.9930387,-82.0294509,39119,Muskingum
43,2003,3.227020778,39.9930387,-82.0294509,39119,Muskingum
43,2000,3.648069049,39.9930387,-82.0294509,39119,Muskingum
46,2009,3.595899205,40.6059796,-81.1683844,39019,Carroll
46,2003,3.492451653,40.6059796,-81.1683844,39019,Carroll
46,2010,3.616827626,40.6059796,-81.1683844,39019,Carroll
46,2008,3.681060464,40.6059796,-81.1683844,39019,Carroll
46,2007,3.497837821,40.6059796,-81.1683844,39019,Carroll
46,2013,3.20175045,40.6059796,-81.1683844,39019,Carroll
46,2006,3.595874696,40.6059796,-81.1683844,39019,Carroll
46,2004,3.331805852,40.6059796,-81.1683844,39019,Carroll
