"ID","Status","lat","lon"
20985,"Certified",40.941364,-84.0140501
20986,"Certified",40.765353,-81.889773
20987,"Certified",40.6678012,-81.9823949
20988,"Certified",40.584195,-81.647502
20989,"Certified",40.648791,-81.9310859
20990,"Certified",40.677225,-81.8177844
20991,"Certified",40.6935411,-81.7528454
20992,"Certified",40.6980857,-81.7009522
20993,"Certified",40.693904,-81.720944
20995,"Certified",40.647811,-81.808199
20996,"Certified",40.4077119,-81.929201
20997,"Certified",40.5760104,-81.6696378
20998,"Certified",40.7380567,-81.6970429
20999,"Certified",40.6905702,-82.1629682
21000,"Certified",41.48487,-83.666222
21001,"Certified",40.9094369,-83.744023
21002,"Certified",40.8191015,-83.7522439
21003,"Certified",41.3045386,-82.6361687
20963,"Certified",40.7262283,-81.8530814
21007,"Certified",40.809243,-81.711921
21013,"Certified",41.4847327,-81.623885
21010,"Certified",40.652622,-81.840776
21011,"Certified",40.722701,-81.691012
21005,"Certified",39.983952,-83.409037
20981,"Certified",40.3067979,-83.9450157
20982,"Certified",40.3782467,-83.9201132
20983,"Certified",40.3740996,-83.9069199
20972,"Certified",40.61639,-81.69528
20973,"Certified",40.887644,-82.3020062
21018,"Certified",40.89701,-82.005443
21019,"Certified",39.5015686,-83.3597723
21020,"Certified",40.9310777,-81.854493
21023,"Certified",41.672918,-83.501257
21024,"Certified",41.6695376,-83.4096331
21025,"Certified",40.087335,-82.535231
21026,"Certified",39.1629402,-83.3210554
21027,"Certified",40.627693,-81.772191
21029,"Certified",40.694393,-81.710392
21030,"Certified",40.7205879,-81.8940936
21031,"Certified",40.5966461,-83.5546754
20902,"Certified",41.2983085,-83.9500815
20899,"Certified",39.649508,-82.7443367
20900,"Certified",40.319815,-82.13457
20895,"Certified",40.3764492,-83.8900997
20897,"Certified",39.6276579,-83.997176
20906,"Certified",40.6979972,-81.374103
20911,"Certified",40.533326,-82.5308644
20913,"Certified",40.0551945,-83.3452902
20914,"Certified",40.302431,-82.393972
20881,"Certified",40.5355352,-81.8071233
20888,"Certified",40.437727,-81.852581
20891,"Certified",40.75935,-81.782784
20892,"Certified",41.158737,-81.707272
20893,"Certified",40.257846,-84.596503
20884,"Certified",40.091427,-83.370679
20885,"Certified",40.504315,-81.790117
20866,"Certified",41.835186,-80.616307
20867,"Certified",40.975224,-81.281001
20922,"Certified",40.64486,-84.11734
20923,"Certified",40.980493,-81.729605
20924,"Certified",40.9273529,-81.854704
20917,"Certified",39.296035,-81.940355
20932,"Certified",40.6178529,-81.839128
20908,"Certified",39.747373,-82.709539
20909,"Certified",41.172597,-81.287834
20928,"Certified",40.501878,-81.927629
20929,"Certified",40.5200635,-82.0973748
20930,"Certified",39.531395,-83.453027
20934,"Certified",40.9696469,-82.1332277
20935,"Certified",40.969367,-82.148466
20936,"Certified",40.8775075,-82.2020969
20937,"Certified",40.62057,-81.841909
20938,"Certified",40.6014121,-83.5038182
20941,"Certified",41.455212,-83.663899
20942,"Certified",41.2868693,-82.8255548
20943,"Certified",41.5022779,-81.636169
20944,"Certified",40.045964,-83.011631
20945,"Certified",40.9447949,-82.1816814
20920,"Certified",41.066138,-82.304943
20952,"Certified",41.238922,-82.337825
20953,"Certified",41.54157,-80.929073
20947,"Certified",41.56581,-81.088475
20948,"Certified",41.220643,-81.406205
20949,"Certified",40.3931033,-84.3760612
21076,"Certified",40.710227,-81.763103
21077,"Certified",40.0677392,-83.3425528
21079,"Certified",40.643841,-81.689608
21080,"Certified",40.154133,-84.758619
21082,"Certified",40.612853,-81.745398
21084,"Certified",41.391312,-81.031433
21085,"Certified",40.9236857,-82.387695
21086,"Certified",40.944271,-82.407171
21071,"Certified",40.447789,-83.7585065
21066,"Certified",40.6968699,-81.7879449
21073,"Certified",40.642404,-81.707967
21074,"Certified",40.5413131,-81.7263446
21044,"Certified",40.4172871,-82.907123
21063,"Certified",40.556888,-81.679742
21064,"Certified",40.71461,-81.7630329
21058,"Certified",40.558601,-81.634767
21059,"Certified",40.5004602,-81.9091733
21060,"Certified",40.5900661,-81.7117286
21046,"Certified",40.0256751,-83.3289375
21047,"Certified",40.2759679,-82.963452
21048,"Certified",40.3528113,-81.8354648
