"BBS_route","reclass","buffer","YEAR","total_pix","km2","RTENO"
2310,6,400,2004,28273.8,25.44642,2310
2310,7,400,2004,834,0.7506,2310
2310,1,5000,2004,1775.2,1.59768,2310
2310,2,5000,2004,54809.6,49.32864,2310
2310,3,5000,2004,722.2,0.64998,2310
2310,4,5000,2004,20501.2,18.45108,2310
2310,5,5000,2004,2566,2.3094,2310
2310,6,5000,2004,411632.6,370.46934,2310
2310,7,5000,2004,7431.2,6.68808,2310
2310,4,200,2004,682,0.6138,2310
2310,5,200,2004,170,0.153,2310
2310,7,200,2004,351,0.3159,2310
2310,4,400,2004,1354,1.2186,2310
2310,5,400,2004,242,0.2178,2310
2310,4,1000,2004,4362,3.9258,2310
2310,5,1000,2004,485,0.4365,2310
2310,5,2000,2004,1260.6,1.13454,2310
2310,1,1000,2005,62.4,0.05616,2310
2310,2,1000,2005,8655.4,7.78986,2310
2310,3,1000,2005,183.6,0.16524,2310
2310,6,1000,2005,72989.6,65.69064,2310
2310,7,1000,2005,1696,1.5264,2310
2310,1,10000,2005,3184,2.8656,2310
2310,2,10000,2005,106669.4,96.00246,2310
2310,3,10000,2005,1374.8,1.23732,2310
2310,4,10000,2005,69129.8,62.21682,2310
2310,5,10000,2005,5573,5.0157,2310
2310,6,10000,2005,951396.6,856.25694,2310
2310,7,10000,2005,19214.4,17.29296,2310
2310,2,200,2005,3014.2,2.71278,2310
2310,3,200,2005,29,0.0261,2310
2310,6,200,2005,13146.8,11.83212,2310
2310,1,2000,2005,184.4,0.16596,2310
2310,2,2000,2005,21546.6,19.39194,2310
2310,3,2000,2005,267.6,0.24084,2310
2310,4,2000,2005,7100,6.39,2310
2310,6,2000,2005,148839.6,133.95564,2310
2310,7,2000,2005,2917,2.6253,2310
2310,1,400,2005,2,0.0018,2310
2310,2,400,2005,4217.6,3.79584,2310
2310,3,400,2005,35,0.0315,2310
2310,6,400,2005,28240.4,25.41636,2310
2310,7,400,2005,834,0.7506,2310
2310,1,5000,2005,1776.6,1.59894,2310
2310,2,5000,2005,54975.8,49.47822,2310
2310,3,5000,2005,721.6,0.64944,2310
2310,4,5000,2005,20493.6,18.44424,2310
2310,5,5000,2005,2560,2.304,2310
2310,6,5000,2005,411462.8,370.31652,2310
2310,7,5000,2005,7447.6,6.70284,2310
2310,4,200,2005,682,0.6138,2310
2310,5,200,2005,170,0.153,2310
2310,7,200,2005,351,0.3159,2310
2310,4,400,2005,1354,1.2186,2310
2310,5,400,2005,242,0.2178,2310
2310,4,1000,2005,4358,3.9222,2310
2310,5,1000,2005,485,0.4365,2310
2310,5,2000,2005,1254.8,1.12932,2310
2310,1,1000,2006,62,0.0558,2310
2310,2,1000,2006,8777,7.8993,2310
2310,3,1000,2006,187,0.1683,2310
2310,6,1000,2006,72869,65.5821,2310
2310,7,1000,2006,1696,1.5264,2310
2310,1,10000,2006,3200,2.88,2310
2310,2,10000,2006,106918,96.2262,2310
2310,3,10000,2006,1366,1.2294,2310
2310,4,10000,2006,69116,62.2044,2310
2310,5,10000,2006,5567,5.0103,2310
2310,6,10000,2006,951126,856.0134,2310
2310,7,10000,2006,19249,17.3241,2310
2310,2,200,2006,3021,2.7189,2310
2310,3,200,2006,29,0.0261,2310
2310,6,200,2006,13140,11.826,2310
2310,1,2000,2006,184,0.1656,2310
2310,2,2000,2006,21674,19.5066,2310
2310,3,2000,2006,271,0.2439,2310
2310,4,2000,2006,7096,6.3864,2310
2310,6,2000,2006,148719,133.8471,2310
2310,7,2000,2006,2917,2.6253,2310
2310,1,400,2006,2,0.0018,2310
2310,2,400,2006,4252,3.8268,2310
2310,3,400,2006,34,0.0306,2310
2310,6,400,2006,28207,25.3863,2310
2310,7,400,2006,834,0.7506,2310
2310,1,5000,2006,1778,1.6002,2310
2310,2,5000,2006,55142,49.6278,2310
2310,3,5000,2006,721,0.6489,2310
2310,4,5000,2006,20486,18.4374,2310
