"Route","Year","Shannon","Lati","Longi"
"83",15,2009,3.10377478857465,41.1788496,-81.002582
"84",15,2000,3.3198648944953,41.1788496,-81.002582
"85",15,2007,3.34255215109803,41.1788496,-81.002582
"86",15,2011,3.22437871169508,41.1788496,-81.002582
"87",15,2004,3.3262410342132,41.1788496,-81.002582
"88",15,2012,3.06492501701672,41.1788496,-81.002582
"89",15,2013,2.95187517722994,41.1788496,-81.002582
"90",15,2001,3.38570273771955,41.1788496,-81.002582
"91",15,2005,3.22095934406403,41.1788496,-81.002582
"92",15,2008,3.29202606000986,41.1788496,-81.002582
"93",15,2002,3.11902684174139,41.1788496,-81.002582
"94",17,2005,3.30104330493404,41.4687714,-81.0750897
"95",17,2010,3.08370584858291,41.4687714,-81.0750897
"96",17,2006,3.28962275196708,41.4687714,-81.0750897
"97",17,2012,3.14424567110141,41.4687714,-81.0750897
"98",17,2003,3.08231575931682,41.4687714,-81.0750897
"99",17,2009,3.22331527049,41.4687714,-81.0750897
"100",17,2011,3.20928361165221,41.4687714,-81.0750897
"101",17,2013,3.0962636085985,41.4687714,-81.0750897
"102",17,2004,3.07337287085123,41.4687714,-81.0750897
"103",17,2008,3.25929561206617,41.4687714,-81.0750897
"104",17,2007,3.09257936600781,41.4687714,-81.0750897
"105",21,2013,3.4929684528266,41.6803821,-80.7420743
"106",21,2011,3.5359788436925,41.6803821,-80.7420743
"107",21,2010,3.46468289639654,41.6803821,-80.7420743
"108",21,2000,3.47337472181558,41.6803821,-80.7420743
"109",21,2006,3.55856837234522,41.6803821,-80.7420743
"110",21,2003,3.50532249639119,41.6803821,-80.7420743
"111",21,2009,3.55125727269212,41.6803821,-80.7420743
"112",21,2012,3.48101357044563,41.6803821,-80.7420743
"113",21,2005,3.50005533171847,41.6803821,-80.7420743
"114",21,2007,3.44627648822534,41.6803821,-80.7420743
"115",21,2004,3.55076891413871,41.6803821,-80.7420743
"116",21,2001,3.50083201685892,41.6803821,-80.7420743
"117",21,2008,3.46844570820272,41.6803821,-80.7420743
"118",21,2002,3.39683140348019,41.6803821,-80.7420743
"119",22,2000,3.25397256371604,41.3710349,-80.9900079
"120",22,2010,3.07741582559403,41.3710349,-80.9900079
"121",22,2004,3.06149384774927,41.3710349,-80.9900079
"122",22,2012,3.16028050520197,41.3710349,-80.9900079
