"GEOID","reclass","year","total"
"39165","1",2011,20205
"39167","1",2011,18741
"39169","1",2011,13504
"39171","1",2011,7010
"39173","1",2011,12758
"39175","1",2011,9124
"42007","1",2011,25624
"42039","1",2011,106222
"42049","1",2011,2173046
"42073","1",2011,14045
"42085","1",2011,44464
"54009","1",2011,9915
"54011","1",2011,20132
"54029","1",2011,15478
"54035","1",2011,21806
"54051","1",2011,20872
"54053","1",2011,41070
"54069","1",2011,8765
"54073","1",2011,14938
"54095","1",2011,12201
"54099","1",2011,18523
"54103","1",2011,8032
"54107","1",2011,30562
"18001","2",1992,77485
"18003","2",1992,424339
"18029","2",1992,74616
"18033","2",1992,91400
"18047","2",1992,56031
"18075","2",1992,75619
"18135","2",1992,94497
"18151","2",1992,94745
"18161","2",1992,32887
"18177","2",1992,132845
"21015","2",1992,112323
"21019","2",1992,92623
"21023","2",1992,26998
"21037","2",1992,83558
"21089","2",1992,99014
"21117","2",1992,113681
"21135","2",1992,71828
"21161","2",1992,46452
"21191","2",1992,46596
"26023","2",1992,121944
"26059","2",1992,140303
"26091","2",1992,205122
"26115","2",1992,280384
"39001","2",1992,80212
"39003","2",1992,203986
"39005","2",1992,108014
"39007","2",1992,206326
"39009","2",1992,117072
"39011","2",1992,111490
"39013","2",1992,146806
"39015","2",1992,88001
"39017","2",1992,408108
"39019","2",1992,80622
"39021","2",1992,87917
"39023","2",1992,199382
"39025","2",1992,183960
"39027","2",1992,90260
"39029","2",1992,205723
"39031","2",1992,124455
"39033","2",1992,111674
"39035","2",1992,947737
"39037","2",1992,134507
"39039","2",1992,99370
"39041","2",1992,202831
"39043","2",1992,131711
"39045","2",1992,176912
"39047","2",1992,74527
"39049","2",1992,875523
"39051","2",1992,103027
"39053","2",1992,103437
"39055","2",1992,176680
"39057","2",1992,245192
"39059","2",1992,138776
"39061","2",1992,630843
"39063","2",1992,164803
"39065","2",1992,96562
"39067","2",1992,87269
"39069","2",1992,96006
"39071","2",1992,97469
"39073","2",1992,75949
"39075","2",1992,92817
"39077","2",1992,125832
"39079","2",1992,94266
"39081","2",1992,140963
"39083","2",1992,134457
"39085","2",1992,277814
"39087","2",1992,118654
"39089","2",1992,220921
"39091","2",1992,130854
"39093","2",1992,352313
"39095","2",1992,429351
"39097","2",1992,81445
"39099","2",1992,328155
"39101","2",1992,123745
"39103","2",1992,228470
"39105","2",1992,88707
"39107","2",1992,117194
"39109","2",1992,146748
"39111","2",1992,94107
"39113","2",1992,568124
"39115","2",1992,79365
"39117","2",1992,83794
"39119","2",1992,184129
"39121","2",1992,90797
"39123","2",1992,114899
"39125","2",1992,86814
"39127","2",1992,94082
"39129","2",1992,101812
"39131","2",1992,82459
"39133","2",1992,220155
"39135","2",1992,98741
"39137","2",1992,108876
"39139","2",1992,198069
"39141","2",1992,131071
"39143","2",1992,136558
"39145","2",1992,136086
"39147","2",1992,139571
"39149","2",1992,107889
"39151","2",1992,487737
"39153","2",1992,598837
"39155","2",1992,329989
"39157","2",1992,177557
"39159","2",1992,103355
"39161","2",1992,98772
"39163","2",1992,71354
"39165","2",1992,253058
"39167","2",1992,172188
"39169","2",1992,194914
"39171","2",1992,110164
"39173","2",1992,240008
"39175","2",1992,88907
"42007","2",1992,280587
"42039","2",1992,215938
"42049","2",1992,319194
"42073","2",1992,161085
"42085","2",1992,229676
"54009","2",1992,40539
"54011","2",1992,115556
"54029","2",1992,45301
"54035","2",1992,101775
"54051","2",1992,75895
"54053","2",1992,95756
"54069","2",1992,60506
"54073","2",1992,30197
"54095","2",1992,38021
"54099","2",1992,123276
"54103","2",1992,62406
"54107","2",1992,149063
"18001","2",2001,78108
"18003","2",2001,442137
"18029","2",2001,76110
"18033","2",2001,94326
"18047","2",2001,56627
"18075","2",2001,75839
"18135","2",2001,94454
"18151","2",2001,94466
"18161","2",2001,32021
"18177","2",2001,134527
"21015","2",2001,131393
"21019","2",2001,96386
"21023","2",2001,27948
"21037","2",2001,90522
"21089","2",2001,102702
"21117","2",2001,124917
"21135","2",2001,73816
"21161","2",2001,48927
"21191","2",2001,47549
"26023","2",2001,121290
"26059","2",2001,139937
"26091","2",2001,207554
"26115","2",2001,287885
"39001","2",2001,81553
"39003","2",2001,209435
"39005","2",2001,108994
"39007","2",2001,216949
"39009","2",2001,121765
"39011","2",2001,113019
"39013","2",2001,146344
"39015","2",2001,89179
"39017","2",2001,422525
"39019","2",2001,80068
"39021","2",2001,88334
"39023","2",2001,201439
"39025","2",2001,200026
"39027","2",2001,92188
"39029","2",2001,212920
"39031","2",2001,125949
"39033","2",2001,112608
"39035","2",2001,1001348
"39037","2",2001,135231
"39039","2",2001,100256
"39041","2",2001,218355
"39043","2",2001,137172
"39045","2",2001,180742
"39047","2",2001,75459
"39049","2",2001,925374
"39051","2",2001,104868
"39053","2",2001,105040
"39055","2",2001,196463
"39057","2",2001,248709
"39059","2",2001,141263
"39061","2",2001,657757
"39063","2",2001,169160
"39065","2",2001,95748
"39067","2",2001,84076
"39069","2",2001,96346
"39071","2",2001,98542
"39073","2",2001,77829
"39075","2",2001,94988
"39077","2",2001,128538
"39079","2",2001,97436
"39081","2",2001,139681
"39083","2",2001,134657
"39085","2",2001,310302
"39087","2",2001,121083
"39089","2",2001,225118
"39091","2",2001,132356
"39093","2",2001,360818
"39095","2",2001,437158
"39097","2",2001,82879
"39099","2",2001,352579
"39101","2",2001,125092
"39103","2",2001,241606
"39105","2",2001,90205
"39107","2",2001,117896
"39109","2",2001,152356
"39111","2",2001,95487
"39113","2",2001,583132
"39115","2",2001,81405
"39117","2",2001,83889
"39119","2",2001,189135
"39121","2",2001,89601
"39123","2",2001,116087
"39125","2",2001,87168
"39127","2",2001,95239
"39129","2",2001,103212
"39131","2",2001,84075
"39133","2",2001,242092
"39135","2",2001,99096
"39137","2",2001,109313
"39139","2",2001,200172
"39141","2",2001,133608
"39143","2",2001,137870
"39145","2",2001,138776
"39147","2",2001,140709
"39149","2",2001,109990
"39151","2",2001,512832
"39153","2",2001,655977
"39155","2",2001,352229
"39157","2",2001,181443
"39159","2",2001,106289
"39161","2",2001,99614
"39163","2",2001,73624
"39165","2",2001,264001
"39167","2",2001,178048
"39169","2",2001,205748
"39171","2",2001,110365
"39173","2",2001,244314
"39175","2",2001,89160
"42007","2",2001,286977
"42039","2",2001,221060
"42049","2",2001,327174
"42073","2",2001,176442
"42085","2",2001,236283
"54009","2",2001,40943
"54011","2",2001,119344
"54029","2",2001,46676
"54035","2",2001,104377
"54051","2",2001,79085
"54053","2",2001,97864
"54069","2",2001,61170
"54073","2",2001,30903
"54095","2",2001,38938
"54099","2",2001,127663
"54103","2",2001,63233
"54107","2",2001,157212
"18001","2",2006,78406
"18003","2",2006,466797
"18029","2",2006,77796
"18033","2",2006,96845
"18047","2",2006,56785
"18075","2",2006,76089
"18135","2",2006,94617
