"GEOID","Prop.area","Value","NAME","ALAND","AWATER","INTPTLAT","INTPTLON","prop.land.area"
"39011",2.42087834654009e-05,"42","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",2.42401080830492e-05
"39011",0.000186753472447378,"46","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.000186995119497808
"39011",0.000696867124039754,"61","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.000697768825533489
"39011",0.00185802413096952,"62","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.00186042829537403
"39011",1.90211870085293e-05,"63","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",1.90457992081101e-05
"39011",5.18759645687162e-06,"64","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",5.19430887493912e-06
"39011",8.12723444909887e-05,"65","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",8.13775057073796e-05
"39013",0.0102981395169678,"1","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.0104751199372426
"39013",0.0902019696210983,"2","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.0917521508423625
"39013",0.000702977543237934,"3","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.000715058682830289
"39013",0.581333538769693,"4","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.591324144727382
"39013",0.0225363686555474,"5","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.0229236712347712
"39013",0.266761038994389,"6","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.271345505996064
"39013",0.00131222474737748,"7","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00133477620794987
"39013",3.8519317437695e-06,"12","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",3.91812976893309e-06
"39013",5.13590899169267e-06,"13","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",5.22417302524412e-06
"39013",4.36552264293877e-05,"14","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",4.4405470714575e-05
"39013",4.04452833095798e-05,"15","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",4.11403625737975e-05
"39013",0.000124545793048547,"16","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00012668619586217
"39013",1.21977838552701e-05,"17","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",1.24074109349548e-05
"39013",0.000353735731802832,"21","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.000359814917113689
"39013",4.94331240450419e-05,"23","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",5.02826653679747e-05
"39013",0.000675372032407586,"24","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.000686978752819602
"39013",0.000299166698766098,"25","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00030430807872047
"39013",0.00132634849710463,"26","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",0.00134914268376929
"39013",3.59513629418487e-05,"27","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",3.65692111767089e-05
"39013",2.50375563345018e-05,"36","Belmont",1378206782,23685406,"+40.0176819","-080.9677268",2.54678434980651e-05
