"GEOID","NAME","ALAND","INTPTLAT","INTPTLON","reclass","Class.prop"
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","agr",0.802548034706175
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","forest",0.0672635150644675
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","grass_shrub",0.0165996718279664
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","urb",0.0996214046908419
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","wetlands",0.00233910369122114
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","agr",0.274439129675808
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","forest",0.59154224966591
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","grass_shrub",0.0295294758705546
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","urb",0.0957538361326517
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","wetlands",0.00146207506411118
"39015","Brown",1269135577,"+38.9313769","-083.8667723","agr",0.528648353445786
"39015","Brown",1269135577,"+38.9313769","-083.8667723","forest",0.37261634800228
"39015","Brown",1269135577,"+38.9313769","-083.8667723","grass_shrub",0.0316298916113061
"39015","Brown",1269135577,"+38.9313769","-083.8667723","urb",0.0652793763377813
"39015","Brown",1269135577,"+38.9313769","-083.8667723","wetlands",0.000414130048897022
"39017","Butler",1209637383,"+39.4397469","-084.5657341","agr",0.469667233311284
"39017","Butler",1209637383,"+39.4397469","-084.5657341","forest",0.185853464057091
"39017","Butler",1209637383,"+39.4397469","-084.5657341","grass_shrub",0.0101817232742115
"39017","Butler",1209637383,"+39.4397469","-084.5657341","urb",0.329288165179883
"39017","Butler",1209637383,"+39.4397469","-084.5657341","wetlands",0.0019187916934009
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","agr",0.34050494656339
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","forest",0.563128232779135
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","grass_shrub",0.0207024668686551
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","urb",0.0686395528489124
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","wetlands",0.00281874081014739
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","agr",0.81031931152417
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","forest",0.100439495999465
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","grass_shrub",0.0142024761065195
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","urb",0.0718853938746855
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","wetlands",0.00115996480271842
"39023","Clark",1029469489,"+39.9170315","-083.7836760","agr",0.717742313938064
"39023","Clark",1029469489,"+39.9170315","-083.7836760","forest",0.0782721876363476
"39023","Clark",1029469489,"+39.9170315","-083.7836760","grass_shrub",0.0193562653597709
"39023","Clark",1029469489,"+39.9170315","-083.7836760","urb",0.179658069317543
"39023","Clark",1029469489,"+39.9170315","-083.7836760","wetlands",0.002705733313242
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","agr",0.317626506457061
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","forest",0.50310385269186
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","grass_shrub",0.026688687332969
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","urb",0.152407199695908
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","wetlands",0.00235260106339001
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","agr",0.775600051605984
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","forest",0.145932976095987
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","grass_shrub",0.0012056430729045
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","urb",0.0800341241858768
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","wetlands",0.00013773919450672
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","agr",0.384969886506631
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","forest",0.444272302882826
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","grass_shrub",0.0185994536138249
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","urb",0.140782812879861
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","wetlands",0.00347400584146955
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","agr",0.340149460407813
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","forest",0.558595752682699
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","grass_shrub",0.00909643434046032
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","urb",0.0782951461386593
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","wetlands",0.00576275937894492
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","agr",0.800514070581754
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","forest",0.0943241827969873
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","grass_shrub",0.00657886635067787
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","urb",0.0947531452933638
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","wetlands",0.00113035077170185
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","agr",0.00683042048354911
