"COMPOUND","PANChemClass","PANUseType","TysonUseType","MOA","MOA_source","AlanWoodChemClass","yr_by_county_use","total_kg","years_used","counties_used","BroadMOA","MOAuse"
"DIQUAT","Bipyridylium","Herbicide, Dessicant","Herbicide","D","HRAC","Quaternary ammonium",1703,27884,21,117,"D","her_D"
"PARAQUAT","Bipyridylium","Herbicide","Herbicide","D","HRAC","Quaternary ammonium",2687,2027370,21,128,"D","her_D"
"ACIFLUORFEN","Diphenyl ether","Herbicide","Herbicide","E","HRAC","Diphenyl ether",2106,336522,21,118,"E","her_E"
"FOMESAFEN","Diphenyl ether","Herbicide","Herbicide","E","HRAC","Diphenyl ether",2450,351572,21,126,"E","her_E"
"LACTOFEN","Diphenyl ether","Herbicide","Herbicide","E","HRAC","Diphenyl ether",2300,144996,21,121,"E","her_E"
"OXYFLUORFEN","Diphenyl ether","Herbicide","Herbicide","E","HRAC","Diphenyl ether",912,25007,21,103,"E","her_E"
"PYRAFLUFEN ETHYL","Pyrazolylphenyl","Herbicide","Herbicide","E","HRAC","Pyrazole",13,15,2,13,"E","her_E"
"CARFENTRAZONE-ETHYL","Triazolone","Herbicide","Herbicide","E","HRAC","Triazolone",1250,8695,14,109,"E","her_E"
"SULFENTRAZONE","Triazolone","Herbicide","Herbicide","E","HRAC","Triazolone, amide",1909,327584,16,124,"E","her_E"
"FLUMICLORAC","Unclassified","Herbicide","Herbicide","E","HRAC","Dicarboximide",1360,13475,18,115,"E","her_E"
"FLUMIOXAZIN","Unclassified","Herbicide","Herbicide","E","HRAC","Dicarboximide",1345,179220,12,128,"E","her_E"
"FLUTHIACET-METHYL","Unknown","Herbicide","Herbicide","E","HRAC","Unclassified",381,703,5,85,"E","her_E"
"NORFLURAZON","Pyridazinone","Herbicide","Herbicide","F1","HRAC","Pyridazinone",1160,64441,21,115,"F","her_F"
"MESOTRIONE","Benzoylcyclohexanedione","Herbicide","Herbicide","F2","HRAC","Benzoylcyclohexanedione",1497,532661,12,128,"F","her_F"
"ISOXAFLUTOLE","Oxazole","Herbicide","Herbicide","F2","HRAC","Oxazole, Cyclopropylisoxazole",1765,154706,15,128,"F","her_F"
"AMITROLE","Unclassified","Herbicide","Herbicide","F3","HRAC","Triazole",16,21,1,16,"F","her_F"
"CLOMAZONE","Unclassified","Herbicide","Herbicide","F3","HRAC","Unclassified",2571,762006,21,127,"F","her_F"
"GLYPHOSATE","Phosphonoglycine","Herbicide","Herbicide","G","HRAC","Organophosphorus",2688,54182500,21,128,"G","her_G"
"SULFOSATE","Phosphonoglycine","Herbicide","Herbicide","G","HRAC","Organophosphorus, glyphosate derivative",1233,1122310,13,128,"G","her_G"
"GLUFOSINATE","Phosphonoglycine","Herbicide","Herbicide","H","HRAC","Organophosphorus",2121,382582,17,128,"H","her_H"
"BENFLURALIN","2,6-Dinitroaniline","Herbicide","Herbicide","K1","HRAC","Dinitroaniline",191,7102,13,27,"K","her_K"
"BUTRALIN","2,6-Dinitroaniline","Herbicide","Herbicide","K1","HRAC","Dinitroaniline",522,12748,16,40,"K","her_K"
"ETHALFLURALIN","2,6-Dinitroaniline","Herbicide","Herbicide","K1","HRAC","Dinitroaniline",2494,502087,21,127,"K","her_K"
"ORYZALIN","2,6-Dinitroaniline","Herbicide","Herbicide","K1","HRAC","Dinitroaniline",1316,42178,20,126,"K","her_K"
"PENDIMETHALIN","2,6-Dinitroaniline","Herbicide","Herbicide","K1","HRAC","Dinitroaniline",2688,7049010,21,128,"K","her_K"
"TRIFLURALIN","2,6-Dinitroaniline","Herbicide","Herbicide","K1","HRAC","Dinitroaniline",2463,1353360,21,128,"K","her_K"
"DCPA","Alkyl Phthalate","Herbicide","Herbicide","K1","HRAC","Aromatic Acid",1040,54483,20,118,"K","her_K"
"PROPYZAMIDE","Amide","Herbicide","Herbicide","K1","HRAC","Amide",17,212,3,16,"K","her_K"
"CHLORPROPHAM","Other Carbamate","Herbicide, Plant Growth Regulator","Herbicide","K2","HRAC","Carbamate",62,19724,3,62,"K","her_K"
"DIMETHENAMID","Amide","Herbicide","Herbicide","K3","HRAC","Amide",2520,3026950,20,128,"K","her_K"
"DIMETHENAMID-P","Amide","Herbicide","Herbicide","K3","HRAC","Amide",1365,621719,13,128,"K","her_K"
"DIPHENAMID","Amide","Herbicide","Herbicide","K3","HRAC","Amide",117,2334,3,66,"K","her_K"
"NAPROPAMIDE","Amide","Herbicide","Herbicide","K3","HRAC","Amide",2241,86644,21,126,"K","her_K"
"FLUFENACET","Anilide","Herbicide","Herbicide","K3","HRAC","Amide",1644,584023,15,128,"K","her_K"
"ACETOCHLOR","Chloroacetanilide","Herbicide","Herbicide","K3","HRAC","Amide",2432,18569300,19,128,"K","her_K"
"ALACHLOR","Chloroacetanilide","Herbicide","Herbicide","K3","HRAC","Amide",2654,12659400,21,128,"K","her_K"
"METOLACHLOR","Chloroacetanilide","Herbicide","Herbicide","K3","HRAC","Amide",2588,19880700,21,128,"K","her_K"
"METOLACHLOR-S","Chloroacetanilide","Herbicide","Herbicide","K3","HRAC","Amide",1920,12319900,15,128,"K","her_K"
"PROPACHLOR","Chloroacetanilide","Herbicide","Herbicide","K3","HRAC","Amide",743,529621,10,112,"K","her_K"
"ISOXABEN","Amide, Oxazole","Herbicide","Herbicide","L","HRAC","Amide, Oxazole",85,169,4,69,"L","her_L"
"DICHLOBENIL","Substituted Benzene","Herbicide","Herbicide","L","HRAC","Nitrile",578,14245,13,121,"L","her_L"
"DINOSEB","Dinitrophenol derivative","Defoliant, Herbicide","Herbicide","M","HRAC","Dinitrophenol",16,92,1,16,"M","her_M"
"BENSULIDE","Organophosphorus","Herbicide","Herbicide","N","HRAC","Organophosphorus",1721,73383,20,115,"N","her_N"
"BUTYLATE","Thiocarbamate","Herbicide","Herbicide","N","HRAC","Thiocarbamate",1206,2184930,13,128,"N","her_N"
"CYCLOATE","Thiocarbamate","Herbicide","Herbicide","N","HRAC","Thiocarbamate",209,61035,16,38,"N","her_N"
"EPTC","Thiocarbamate","Herbicide","Herbicide","N","HRAC","Thiocarbamate",2022,2479980,21,128,"N","her_N"
"MOLINATE","Thiocarbamate","Herbicide","Herbicide","N","HRAC","Thiocarbamate",13,918,2,13,"N","her_N"
"PEBULATE","Thiocarbamate","Herbicide","Herbicide","N","HRAC","Thiocarbamate",758,74478,15,101,"N","her_N"
"TRI-ALLATE","Thiocarbamate","Herbicide","Herbicide","N","HRAC","Thiocarbamate",52,9747,2,52,"N","her_N"
"VERNOLATE","Thiocarbamate","Herbicide","Herbicide","N","HRAC","Thiocarbamate",10,23718,1,10,"N","her_N"
"ETHOFUMESATE","Unclassified","Herbicide","Herbicide","N","HRAC","Benzofuranyl alkylsulfonate",185,22239,16,14,"N","her_N"
"TCA","Unclassified","Breakdown product, Herbicide","Herbicide","N","HRAC","Halogenated aliphatic",2,5,1,2,"N","her_N"
"CHLORAMBEN","Benzoic acid","Herbicide","Herbicide","O","HRAC","Aromatic acid",528,185317,6,113,"O","her_O"
"DICAMBA","Benzoic acid","Herbicide","Herbicide","O","HRAC","Aromatic acid",2686,2192180,21,128,"O","her_O"
"2,4-D","Chlorophenoxy acid or ester","Herbicide, Plant Growth Regulator","Herbicide","O","HRAC","Phenoxy",2688,9099830,21,128,"O","her_O"
"2,4-DB","Chlorophenoxy acid or ester","Herbicide","Herbicide","O","HRAC","Phenoxy",2585,346313,21,128,"O","her_O"
"DICHLORPROP","Chlorophenoxy acid or ester","Herbicide","Herbicide","O","HRAC","Phenoxy",1228,175552,18,128,"O","her_O"
"MCPA","Chlorophenoxy acid or ester","Herbicide","Herbicide","O","HRAC","Phenoxy",2199,346422,21,128,"O","her_O"
"MCPB","Chlorophenoxy acid or ester","Herbicide","Herbicide","O","HRAC","Phenoxy",22,122,8,4,"O","her_O"
"MECOPROP","Chlorophenoxy acid or ester","Herbicide","Herbicide","O","HRAC","Phenoxy",901,16945,10,128,"O","her_O"
"TRICLOPYR","Chloropyridinyl","Herbicide","Herbicide","O","HRAC","Pyridine",2574,93344,21,128,"O","her_O"
"AMINOPYRALID","Pyridinecarboxylic acid","Herbicide","Herbicide","O","HRAC","Pyridine, Aromatic acid",833,15322,7,124,"O","her_O"
"CLOPYRALID","Pyridinecarboxylic acid","Herbicide","Herbicide","O","HRAC","Pyridine, Aromatic acid",2491,234442,21,128,"O","her_O"
"FLUROXYPYR","Pyridinecarboxylic acid","Herbicide","Herbicide","O","HRAC","Pyridine",390,33703,9,84,"O","her_O"
"PICLORAM","Pyridinecarboxylic acid","Herbicide","Herbicide","O","HRAC","Pyridine, Aromatic acid",1641,51849,21,120,"O","her_O"
"NAPTALAM","Amide","Herbicide","Herbicide","P","HRAC","Amide",1589,255629,19,120,"P","her_P"
"DIFLUFENZOPYR","Urea","Herbicide","Herbicide","P","HRAC","Urea",1719,44023,14,127,"P","her_P"
"METAM","Dithiocarbamate-MITC","Fumigant, Fungicide, Microbiocide, Algaecide, Nematicide","Herbicide","Z","HRAC","Dithiocarbamate",291,1827620,20,91,"Z","her_Z"
"PELARGONIC ACID","Fatty acid","Herbicide, Fungicide","Herbicide","Z","HRAC","Unclassified",124,36043,3,82,"Z","her_Z"
