COMPOUND,Chemical Class,Use Type,yr_by_county_use,total_kg,years_used,counties_used
TETRATHIOCARBONATE,Inorganic,"Fumigant, Fungicide, Nematicide",31,134095.6,2,31
DIAZINON,Organophosphorus,Insecticide,2385,137088.8,21,128
THIAMETHOXAM,Neonicotinoid,Insecticide,1248,141449.2,12,128
LACTOFEN,Diphenyl ether,Herbicide,2300,144995.7,21,121
TRICHLORFON,Organophosphorus,Insecticide,51,148988.9,2,51
ISOXAFLUTOLE,Oxazole,Herbicide,1765,154706,15,128
FLUMETSULAM,Triazolopyrimidine,Herbicide,2436,159556.2,20,128
DICHLORPROP,Chlorophenoxy acid or ester,Herbicide,1228,175551.7,18,128
IMIDACLOPRID,Neonicotinoid,Insecticide,2242,177876.9,18,128
DIURON,Urea,Herbicide,2589,177997.3,21,127
FLUMIOXAZIN,Unclassified,Herbicide,1345,179220.4,12,128
CALCIUM POLYSULFIDE,Inorganic,"Fungicide, Insecticide",1130,182237.5,19,111
CHLORAMBEN,Benzoic acid,Herbicide,528,185317.3,6,113
AZOXYSTROBIN,Strobin,Fungicide,1895,190740.1,16,128
ACEPHATE,Organophosphorus,Insecticide,2096,193196.7,21,127
PYRACLOSTROBIN,Strobin,Fungicide,1251,211682.6,10,128
PROPICONAZOLE,Azole,Fungicide,2597,225506.6,21,128
TEFLUTHRIN,Pyrethroid,Insecticide,2640,228211.9,21,128
CLOPYRALID,Pyridinecarboxylic acid,Herbicide,2491,234442.3,21,128
CLOTHIANIDIN,Neonicotinoid,Insecticide,1137,237376.6,9,128
PARATHION,Organophosphorus,Insecticide,434,238260.7,6,126
PETROLEUM DISTILLATE,Petroleum derivative-Saturated,"Herbicide, Plant Growth Regulator, Insecticide, Adjuvant, Solvent",851,244584.3,14,122
AZINPHOS-METHYL,Organophosphorus,Insecticide,2604,253321.2,21,128
NAPTALAM,Amide,Herbicide,1589,255628.6,19,120
CHLORIMURON,Sulfonylurea,Herbicide,2407,259280.9,21,123
SODIUM CHLORATE,Inorganic,"Defoliant, Herbicide, Microbiocide",174,259798.9,6,103
THIODICARB,N-Methyl Carbamate,"Molluscicide, Insecticide",2163,268700.3,21,124
ENDOSULFAN,Organochlorine,Insecticide,2645,271456.7,21,128
COPPER SULFATE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",2565,274634.8,21,128
PERMETHRIN,Pyrethroid,Insecticide,2688,286833,21,128
FLUAZIFOP,Aryloxyphenoxy propionic acid,Herbicide,2355,286994.2,21,128
METHYL PARATHION,Organophosphorus,"Insecticide, Nematicide",1594,292380.3,19,128
IMAZETHAPYR,Imidazolinone,"Herbicide, Plant Growth Regulator",2642,297121.1,21,128
CLETHODIM,Cyclohexenone derivative,Herbicide,2457,309741.5,21,125
SULFENTRAZONE,Triazolone,Herbicide,1909,327584,16,124
MALATHION,Organophosphorus,Insecticide,2243,336257,21,128
ACIFLUORFEN,Diphenyl ether,Herbicide,2106,336521.9,21,118
