COMPOUND,PANChemClass,PANUseType,TysonUseType,MOA,MOA_source,AlanWoodChemClass,yr_by_county_use,total_kg,years_used,counties_used
DESMEDIPHAM,Bis-Carbamate,Herbicide,Herbicide,C1,HRAC,Carbamate,221,5444,16,43
PHENMEDIPHAM,Bis-Carbamate,Herbicide,Herbicide,C1,HRAC,Carbamate,221,5115,16,43
CHLORIDAZON,Pyridazinone,Herbicide,Herbicide,C1,HRAC,Pyridazinone,259,71180,16,59
AMETRYN,Triazine,Herbicide,Herbicide,C1,HRAC,Triazine,62,12120,2,62
ATRAZINE,Triazine,Herbicide,Herbicide,C1,HRAC,Triazine,2688,45236800,21,128
CYANAZINE,Triazine,Herbicide,Herbicide,C1,HRAC,Triazine,1608,6145780,15,128
PROMETON,Triazine,Herbicide,Herbicide,C1,HRAC,Triazine,636,11421,6,114
PROMETRYN,Triazine,Herbicide,Herbicide,C1,HRAC,Triazine,4,668,3,2
SIMAZINE,Triazine,Herbicide,Herbicide,C1,HRAC,Triazine,2687,4161160,21,128
HEXAZINONE,Triazinone,Herbicide,Herbicide,C1,HRAC,Triazinone,843,56152,18,128
METRIBUZIN,Triazinone,Herbicide,Herbicide,C1,HRAC,Triazinone,2677,2548610,21,128
BROMACIL,Uracil,Herbicide,Herbicide,C1,HRAC,Uracil,86,543,3,62
TERBACIL,Uracil,Herbicide,Herbicide,C1,HRAC,Uracil,2515,41960,21,127
DIURON,Urea,Herbicide,Herbicide,C2,HRAC,Urea,2589,177997,21,127
LINURON,Urea,Herbicide,Herbicide,C2,HRAC,Urea,2402,1030470,21,128
TEBUTHIURON,Urea,Herbicide,Herbicide,C2,HRAC,Urea,1045,24743,16,128
FLUOMETURON,Urea,Herbicide,Herbicide,"C2,F3",HRAC,Urea,19,307,2,19
BROMOXYNIL,Hydroxybenzonitrile,Herbicide,Herbicide,C3,HRAC,Nitrile,2392,602872,21,128
BENTAZONE,Unclassified,Herbicide,Herbicide,C3,HRAC,Unclassified,2609,2048780,21,128
PYRIDATE,Unknown,Herbicide,Herbicide,C3,HRAC,Pyridazine,82,994,5,40
DIQUAT,Bipyridylium,"Herbicide, Dessicant",Herbicide,D,HRAC,Quaternary ammonium,1703,27884,21,117
PARAQUAT,Bipyridylium,Herbicide,Herbicide,D,HRAC,Quaternary ammonium,2687,2027370,21,128
ACIFLUORFEN,Diphenyl ether,Herbicide,Herbicide,E,HRAC,Diphenyl ether,2106,336522,21,118
FOMESAFEN,Diphenyl ether,Herbicide,Herbicide,E,HRAC,Diphenyl ether,2450,351572,21,126
LACTOFEN,Diphenyl ether,Herbicide,Herbicide,E,HRAC,Diphenyl ether,2300,144996,21,121
OXYFLUORFEN,Diphenyl ether,Herbicide,Herbicide,E,HRAC,Diphenyl ether,912,25007,21,103
PYRAFLUFEN ETHYL,Pyrazolylphenyl,Herbicide,Herbicide,E,HRAC,Pyrazole,13,15,2,13
CARFENTRAZONE-ETHYL,Triazolone,Herbicide,Herbicide,E,HRAC,Triazolone,1250,8695,14,109
SULFENTRAZONE,Triazolone,Herbicide,Herbicide,E,HRAC,"Triazolone, amide",1909,327584,16,124
FLUMICLORAC,Unclassified,Herbicide,Herbicide,E,HRAC,Dicarboximide,1360,13475,18,115
FLUMIOXAZIN,Unclassified,Herbicide,Herbicide,E,HRAC,Dicarboximide,1345,179220,12,128
FLUTHIACET-METHYL,Unknown,Herbicide,Herbicide,E,HRAC,Unclassified,381,703,5,85
NORFLURAZON,Pyridazinone,Herbicide,Herbicide,F1,HRAC,Pyridazinone,1160,64441,21,115
MESOTRIONE,Benzoylcyclohexanedione,Herbicide,Herbicide,F2,HRAC,Benzoylcyclohexanedione,1497,532661,12,128
ISOXAFLUTOLE,Oxazole,Herbicide,Herbicide,F2,HRAC,"Oxazole, Cyclopropylisoxazole",1765,154706,15,128
AMITROLE,Unclassified,Herbicide,Herbicide,F3,HRAC,Triazole,16,21,1,16
CLOMAZONE,Unclassified,Herbicide,Herbicide,F3,HRAC,Unclassified,2571,762006,21,127
GLYPHOSATE,Phosphonoglycine,Herbicide,Herbicide,G,HRAC,Organophosphorus,2688,54182500,21,128
SULFOSATE,Phosphonoglycine,Herbicide,Herbicide,G,HRAC,"Organophosphorus, glyphosate derivative",1233,1122310,13,128
GLUFOSINATE,Phosphonoglycine,Herbicide,Herbicide,H,HRAC,Organophosphorus,2121,382582,17,128
BENFLURALIN,"2,6-Dinitroaniline",Herbicide,Herbicide,K1,HRAC,Dinitroaniline,191,7102,13,27
BUTRALIN,"2,6-Dinitroaniline",Herbicide,Herbicide,K1,HRAC,Dinitroaniline,522,12748,16,40
ETHALFLURALIN,"2,6-Dinitroaniline",Herbicide,Herbicide,K1,HRAC,Dinitroaniline,2494,502087,21,127
ORYZALIN,"2,6-Dinitroaniline",Herbicide,Herbicide,K1,HRAC,Dinitroaniline,1316,42178,20,126
PENDIMETHALIN,"2,6-Dinitroaniline",Herbicide,Herbicide,K1,HRAC,Dinitroaniline,2688,7049010,21,128
TRIFLURALIN,"2,6-Dinitroaniline",Herbicide,Herbicide,K1,HRAC,Dinitroaniline,2463,1353360,21,128
DCPA,Alkyl Phthalate,Herbicide,Herbicide,K1,HRAC,Aromatic Acid,1040,54483,20,118
PROPYZAMIDE,Amide,Herbicide,Herbicide,K1,HRAC,Amide,17,212,3,16
CHLORPROPHAM,Other Carbamate,"Herbicide, Plant Growth Regulator",Herbicide,K2,HRAC,Carbamate,62,19724,3,62
DIMETHENAMID,Amide,Herbicide,Herbicide,K3,HRAC,Amide,2520,3026950,20,128
DIMETHENAMID-P,Amide,Herbicide,Herbicide,K3,HRAC,Amide,1365,621719,13,128
DIPHENAMID,Amide,Herbicide,Herbicide,K3,HRAC,Amide,117,2334,3,66
NAPROPAMIDE,Amide,Herbicide,Herbicide,K3,HRAC,Amide,2241,86644,21,126
FLUFENACET,Anilide,Herbicide,Herbicide,K3,HRAC,Amide,1644,584023,15,128
ACETOCHLOR,Chloroacetanilide,Herbicide,Herbicide,K3,HRAC,Amide,2432,18569300,19,128
ALACHLOR,Chloroacetanilide,Herbicide,Herbicide,K3,HRAC,Amide,2654,12659400,21,128
METOLACHLOR,Chloroacetanilide,Herbicide,Herbicide,K3,HRAC,Amide,2588,19880700,21,128
METOLACHLOR-S,Chloroacetanilide,Herbicide,Herbicide,K3,HRAC,Amide,1920,12319900,15,128
PROPACHLOR,Chloroacetanilide,Herbicide,Herbicide,K3,HRAC,Amide,743,529621,10,112
ISOXABEN,"Amide, Oxazole",Herbicide,Herbicide,L,HRAC,"Amide, Oxazole",85,169,4,69
DICHLOBENIL,Substituted Benzene,Herbicide,Herbicide,L,HRAC,Nitrile,578,14245,13,121
DINOSEB,Dinitrophenol derivative,"Defoliant, Herbicide",Herbicide,M,HRAC,Dinitrophenol,16,92,1,16
BENSULIDE,Organophosphorus,Herbicide,Herbicide,N,HRAC,Organophosphorus,1721,73383,20,115
BUTYLATE,Thiocarbamate,Herbicide,Herbicide,N,HRAC,Thiocarbamate,1206,2184930,13,128
CYCLOATE,Thiocarbamate,Herbicide,Herbicide,N,HRAC,Thiocarbamate,209,61035,16,38
EPTC,Thiocarbamate,Herbicide,Herbicide,N,HRAC,Thiocarbamate,2022,2479980,21,128
MOLINATE,Thiocarbamate,Herbicide,Herbicide,N,HRAC,Thiocarbamate,13,918,2,13
PEBULATE,Thiocarbamate,Herbicide,Herbicide,N,HRAC,Thiocarbamate,758,74478,15,101
