COMPOUND,ChemClassPAN,UseTypePAN,MOA,MOA_source,AlanWoodChemClass
CLORANSULAM-METHYL,Triazolopyrimidine,Herbicide,B,HRAC,"Triazolopyrimidine, amide"
FLUMETSULAM,Triazolopyrimidine,Herbicide,B,HRAC,"Triazolopyrimidine, amide"
FORAMSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
HALOSULFURON,Sulfonylurea,Herbicide,B,HRAC,"Urea, pyrazole"
IMAZAMETHABENZ,Imidazolinone,Herbicide,B,HRAC,Imidazolinone
IMAZAMOX,Imidazolinone,Herbicide,B,HRAC,Imidazolinone
IMAZAPYR,Imidazolinone,Herbicide,B,HRAC,Imidazolinone
IODOSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
MESOSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
METSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
NICOSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
PRIMISULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
PROSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
PYROXSULAM,Triazolopyrimidine,Herbicide,B,HRAC,"Triazolopyrimidine, amide, pyridine"
RIMSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
SULFOSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
TRIASULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
TRIBENURON METHYL,Sulfonylurea,Herbicide,B,HRAC,Urea
TRIFLUSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
IMAZAQUIN,Imidazolinone,"Herbicide, Plant Growth Regulator",B,HRAC,Imidazolinone
IMAZETHAPYR,Imidazolinone,"Herbicide, Plant Growth Regulator",B,HRAC,Imidazolinone
BENOMYL,Benzimidazole,Fungicide,B1,FRAC,"Benzimidazole, Carbamate"
THIABENDAZOLE,Benzimidazole,Fungicide,B1,FRAC,"Thiazole, Benzimidazole"
THIOPHANATE-METHYL,Benzimidazole precursor,Fungicide,B1,FRAC,"Carbamate, Benzimidazole precursor"
ZOXAMIDE,Unknown,Fungicide,B3,FRAC,Amide
FLUOPICOLIDE,Unknown,Fungicide,B5,FRAC,Amide
AMETRYN,Triazine,Herbicide,C1,HRAC,Triazine
ATRAZINE,Triazine,Herbicide,C1,HRAC,Triazine
BROMACIL,Uracil,Herbicide,C1,HRAC,Uracil
CHLORIDAZON,Pyridazinone,Herbicide,C1,HRAC,Pyridazinone
CYANAZINE,Triazine,Herbicide,C1,HRAC,Triazine
DESMEDIPHAM,Bis-Carbamate,Herbicide,C1,HRAC,Carbamate
HEXAZINONE,Triazinone,Herbicide,C1,HRAC,Triazinone
METRIBUZIN,Triazinone,Herbicide,C1,HRAC,Triazinone
PHENMEDIPHAM,Bis-Carbamate,Herbicide,C1,HRAC,Carbamate
PROMETON,Triazine,Herbicide,C1,HRAC,Triazine
PROMETRYN,Triazine,Herbicide,C1,HRAC,Triazine
SIMAZINE,Triazine,Herbicide,C1,HRAC,Triazine
TERBACIL,Uracil,Herbicide,C1,HRAC,Uracil
BOSCALID,Anilide,Fungicide,C2,FRAC,"Amide, Pyridine"
CARBOXIN,Carboxamide,Fungicide,C2,FRAC,"Amide, Oxathiin"
FLUTOLANIL,Anilide,Fungicide,C2,FRAC,Amide
